aluno_id,curso,periodo_atual,habilitacao,bairro,cidade,uf,faixa_idade,matriculado,mes_cadastro
ALU_86df7b4d49,Relacões Internacionais,6,Bac Relacões Internacionais,"Parque Da Cidade, Gavea",Rio De Janeiro,RJ,26-30,S,2024-11
ALU_a4298ace35,Ciências Econômicas,7,Bac Em Ciências Econômicas,Jardim Botanico,Rio De Janeiro,RJ,20-22,S,2024-11
ALU_0aca9fca75,Engenharia,7,Bac Em Engenharia De Produção,Leme,Rio De Janeiro,RJ,20-22,S,2024-11
ALU_83cea56f5d,Engenharia,7,Bac Em Engenharia De Produção,Barra Da Tijuca,Rio De Janeiro,RJ,20-22,S,2024-11
ALU_dbdf97856e,Direito,4,Bacharelado Em Direito,Campo Grande,Rio De Janeiro,RJ,20-22,S,2024-11
ALU_15c1580601,Estudos De Mídia,3,Bacharelado Estudos De Mídia,Catete,Rio De Janeiro,RJ,23-25,S,2024-11
ALU_e78ba4d268,Estudos De Mídia,4,Bacharelado Estudos De Mídia,Sao Domingos,Niteroi,RJ,20-22,S,2024-11
ALU_99453fb6ef,Direito,15,Bacharelado Em Direito,Ipanema,Rio De Janeiro,RJ,,S,2024-11
ALU_32b7663ac5,Engenharia,4,Bac Engenharia De Computação,Centro,Rio De Janeiro,RJ,20-22,S,2024-11
ALU_b73cebbd5c,Design,8,Bacharelado Em Design,São Conrado,Rio De Janeiro,RJ,23-25,S,2024-12
ALU_7021d55be1,Ciências Econômicas,7,Bac Em Ciências Econômicas,Recreio Dos Bandeirantes,Rio De Janeiro,RJ,20-22,S,2024-12
ALU_47eb28c012,Ciências Econômicas,7,Bac Em Ciências Econômicas,Leblon,Rio De Janeiro,RJ,20-22,S,2024-12
ALU_0cebc3b776,Administração,7,Bacharelado Em Administração,Laranjeiras,Rio De Janeiro,RJ,20-22,S,2024-12
ALU_d3be5cb78e,Ciência Da Computação,3,Bac Ciência Da Computação,Freguesia,Rio De Janeiro,RJ,20-22,S,2024-12
ALU_935b3875a0,Direito,7,Bacharelado Em Direito,Camorim,Rio De Janeiro,RJ,,S,2024-12
ALU_5950e57340,Comunicação Social,12,"Com Social-Jornalismo, Bachar",Santa Teresa,Rio De Janeiro,RJ,,S,2024-12
ALU_76aec64643,Ciências Econômicas,4,Bac Em Ciências Econômicas,Barra Da Tijuca,Rio De Janeiro,RJ,20-22,S,2024-12
ALU_4d02e1944f,Letras,3,"Lic Let, Port Inglês Resp Lit",Realengo,Rio De Janeiro,RJ,23-25,S,2024-12
ALU_1fd678ad1d,Engenharia,7,Bac Em Engenharia Química,Botafogo,Rio De Janeiro,RJ,20-22,S,2024-12
ALU_c4eb6e4fc4,Engenharia,8,Bac Engenharia De Computação,Leblon,Rio De Janeiro,RJ,23-25,S,2024-12
ALU_ebf709debd,Estudos De Mídia,3,Bacharelado Estudos De Mídia,Jardim Botanico,Rio De Janeiro,RJ,23-25,S,2024-12
ALU_d198419bba,Design,7,Bacharelado Em Design,Lagoa,Rio De Janeiro,RJ,20-22,S,2024-12
ALU_f8c787761e,Artes Cênicas,10,Bac Art Cênicas,Tijuca,Rio De Janeiro,RJ,23-25,S,2024-12
ALU_b2245b4540,Direito,12,Bacharelado Em Direito,Barra Da Tijuca,Rio De Janeiro,RJ,,S,2024-12
ALU_7fd37ecb48,Engenharia,7,Bac Engenharia De Computação,Ramos,Rio De Janeiro,RJ,23-25,S,2024-12
ALU_a721dbab5b,Direito,5,Bacharelado Em Direito,Tijuca,Rio De Janeiro,RJ,20-22,S,2024-12
ALU_2109d9474c,Engenharia,5,Bac Em Engenharia Civil,Tijuca,Rio De Janeiro,RJ,23-25,S,2024-12
ALU_0f5698580c,Direito,9,Bacharelado Em Direito,Leblon,Rio De Janeiro,RJ,,S,2024-12
ALU_fa10b628c6,Serviço Social,6,Bac Serviço Social,Glória,Rio De Janeiro,RJ,30+,S,2024-12
ALU_102bc8cd45,Ciências Econômicas,9,Bac Em Ciências Econômicas,Gavea,Rio De Janeiro,RJ,20-22,S,2024-12
ALU_494cd46b3b,Ciência Da Computação,13,Bac Ciência Da Computação,Tijuca,Rio De Janeiro,RJ,23-25,S,2024-12
ALU_5c43282883,Pos-Graduacao Em Design,11,Doutorado Em Design,Vidigal,Rio De Janeiro,RJ,30+,N,2024-12
ALU_de7fc14ce3,Engenharia,5,Bac Engenharia De Computação,Flamengo,Rio De Janeiro,RJ,20-22,S,2024-12
ALU_be9f9f4383,Nutriçao,7,Bacharelado Em Nutriçao,Tijuca,Rio De Janeiro,RJ,20-22,S,2024-12
ALU_ad7ed85058,Pos-Graduacao Em Informatica,7,Mestrado Em Informatica,Gávea,Rio De Janeiro,RJ,,S,2024-12
ALU_4f0fa4c7b5,Pos-Grad Eng Quim Mater E Proc Ambie,5,Dout Eng Quim Mater E Pro Amb,Austin,Nova Iguacu,RJ,,S,2024-12
ALU_f32433ef1e,Psicologia,6,Bacharelado Em Psicologia,Vila Columbia,Rio De Janeiro,RJ,23-25,S,2024-12
ALU_299cb7a4f5,Psicologia,3,Bacharelado Em Psicologia,Alto Da Boa Vista,Rio De Janeiro,RJ,30+,S,2024-12
ALU_65b689c55e,Engenharia,5,Bac Engenharia De Computação,Barra Olimpica,Rio De Janeiro,RJ,20-22,S,2024-12
ALU_48f0551b80,Ciência Da Computação,4,Bac Ciência Da Computação,Taquara,Rio De Janeiro,RJ,20-22,S,2025-01
ALU_c83f0d311e,Filosofia,13,Bacharelado Em Filosofia,Campo Grande,Rio De Janeiro,RJ,23-25,N,2025-01
ALU_9aa1838ecf,Ciência Da Computação,12,Bac Ciência Da Computação,Barra Da Tijuca,Rio De Janeiro,RJ,23-25,S,2025-01
ALU_dc4d46a3e5,Design,5,Bacharelado Em Design,Barra Da Tijuca,Rio De Janeiro,RJ,20-22,S,2025-01
ALU_a5151ecd7d,Direito,7,Bacharelado Em Direito,Ipanema,Rio De Janeiro,RJ,<=19,S,2025-01
ALU_ca29c3ec27,Ciência Da Computação,7,Bac Ciência Da Computação,Botafogo,Rio De Janeiro,RJ,23-25,S,2025-01
ALU_acd3fd50a2,Design,7,Bacharelado Em Design,Barra Da Tijuca,Rio De Janeiro,RJ,20-22,S,2025-01
ALU_86f66564a6,Direito,15,Bacharelado Em Direito,Penha Circular,Rio De Janeiro,RJ,30+,N,2025-01
ALU_51a93ca547,Design,7,Bacharelado Em Design,Tijuca,Rio De Janeiro,RJ,23-25,S,2025-01
ALU_6e3c0e4710,Design,11,Bacharelado Em Design,Bangu,Rio De Janeiro,RJ,26-30,S,2025-01
ALU_57bc3471b9,Direito,8,Bacharelado Em Direito,Lagoa,Rio De Janeiro,RJ,23-25,S,2025-01
ALU_c87813eb23,Engenharia,11,Bac Em Engenharia De Produção,Urca,Rio De Janeiro,RJ,23-25,S,2025-01
ALU_179993f337,Engenharia,20,Bac Em Engenharia Mecânica,"Monero, Ilha Do Governador",Rio De Janeiro,RJ,,S,2025-01
ALU_f43a06b968,Filosofia,7,Licenciatura Em Filosofia,Flamengo,Rio De Janeiro,RJ,,N,2025-01
ALU_26caff876e,Geografia,3,Bacharelado Em Geografia,Flamengo,Rio De Janeiro,RJ,20-22,S,2025-01
ALU_a1eeede170,Arquitetura E Urbanismo,7,Bac Arquitetura E Urbanismo,Jardim Guanabara,Rio De Janeiro,RJ,26-30,S,2025-01
ALU_7615c5ba91,Psicologia,5,Bacharelado Em Psicologia,Barra Da Tijuca,Rio De Janeiro,RJ,20-22,S,2025-01
ALU_7881bec734,Psicologia,11,Bacharelado Em Psicologia,Anil,Rio De Janeiro,RJ,,S,2025-01
ALU_532d29774f,Nutriçao,5,Bacharelado Em Nutriçao,Itanhanga,Rio De Janeiro,RJ,,S,2025-01
ALU_22e86c06ad,Administração,7,Bacharelado Em Administração,Itanhanga,Rio De Janeiro,RJ,30+,S,2025-01
ALU_e08de86f3e,Relacões Internacionais,11,Bac Relacões Internacionais,Barra Da Tijuca,Rio De Janeiro,RJ,,S,2025-01
ALU_349599d033,Teologia,3,Bacharelado Em Teologia,Penha,Rio De Janeiro,RJ,,S,2025-01
ALU_7cbf31e899,Ciências Econômicas,10,Bac Em Ciências Econômicas,Copacabana,Rio De Janeiro,RJ,26-30,S,2025-01
ALU_31f17f9fbd,Design,3,Bacharelado Em Design,Tijuca,Rio De Janeiro,RJ,,S,2025-01
ALU_12339ef9f0,Direito,6,Bacharelado Em Direito,Copacabana,Rio De Janeiro,RJ,23-25,S,2025-01
ALU_51828b1772,Design,9,Bacharelado Em Design,Curicica,Rio De Janeiro,RJ,20-22,S,2025-01
ALU_3ec578dd9e,Letras,3,"Tradutor Inglês, Bacharelado",Bangu,Rio De Janeiro,RJ,20-22,S,2025-01
ALU_4b1e1feeb9,Design,9,Bacharelado Em Design,Ipanema,Rio De Janeiro,RJ,,S,2025-01
ALU_92481a33bc,Direito,5,Bacharelado Em Direito,Copacabana,Rio De Janeiro,RJ,,S,2025-01
ALU_ad8f38a8e4,Nutriçao,3,Bacharelado Em Nutriçao,Gavea,Rio De Janeiro,RJ,30+,S,2025-01
ALU_2fb9006cfa,Serviço Social,3,Bac Serviço Social,Laranjeiras,Rio De Janeiro,RJ,20-22,S,2025-01
ALU_444a1c7b9b,Estudos De Mídia,3,Bacharelado Estudos De Mídia,Botafogo,Rio De Janeiro,RJ,20-22,S,2025-01
ALU_c2a9b2e321,Neurociências,7,Bacharelado Em Neurociências,Humaita,Rio De Janeiro,RJ,20-22,S,2025-01
ALU_951a5e3922,Direito,5,Bacharelado Em Direito,Barra Da Tijuca,Rio De Janeiro,RJ,23-25,S,2025-01
ALU_85cbd16f99,Administração,6,Bacharelado Em Administração,Parque Das Missoes,Duque De Caxias,RJ,,S,2025-01
ALU_81ab1f96ea,Psicologia,9,Bacharelado Em Psicologia,Andarai,Rio De Janeiro,RJ,23-25,S,2025-01
ALU_9575b86b4e,Arquitetura E Urbanismo,8,Bac Arquitetura E Urbanismo,Tijuca,Rio De Janeiro,RJ,23-25,S,2025-01
ALU_9025786884,Engenharia,9,Bac Em Engenharia De Produção,Gavea,Rio De Janeiro,RJ,,S,2025-01
ALU_10d8276d67,Letras,5,Bac Let Port Ing Resp Lit,Rocha Miranda,Rio De Janeiro,RJ,30+,S,2025-01
ALU_9ac76cbf5b,Administração,9,Bacharelado Em Administração,Ipanema,Rio De Janeiro,RJ,20-22,S,2025-01
ALU_172fb39a59,Engenharia,11,Bac Em Engenharia De Produção,Lagoa,Rio De Janeiro,RJ,23-25,S,2025-01
ALU_3b86622df0,Engenharia,6,Bac Em Engenharia De Produção,Manguinhos,Rio De Janeiro,RJ,26-30,S,2025-01
ALU_b7ab77a859,Direito,9,Bacharelado Em Direito,Sao Francisco,Niteroi,RJ,,S,2025-01
ALU_cf14e5631f,Administração,6,Bacharelado Em Administração,Lagoa,Rio De Janeiro,RJ,20-22,S,2025-01
ALU_b6eab1142a,Psicologia,6,Bacharelado Em Psicologia,Tijuca,Rio De Janeiro,RJ,,S,2025-01
ALU_c87307881d,Psicologia,7,Bacharelado Em Psicologia,Maracana,Rio De Janeiro,RJ,,S,2025-01
ALU_0f507d4d5a,Direito,7,Bacharelado Em Direito,Tijuca,Rio De Janeiro,RJ,23-25,S,2025-01
ALU_bff8805abd,Psicologia,5,Bacharelado Em Psicologia,Laranjeiras,Rio De Janeiro,RJ,,S,2025-01
ALU_f3529ff018,Administração,9,Bacharelado Em Administração,Barra Da Tijuca,Rio De Janeiro,RJ,,S,2025-01
ALU_ee7c16d79e,Serviço Social,3,Bac Serviço Social,Rocinha,Rio De Janeiro,RJ,20-22,S,2025-01
ALU_c0db486879,Ciências Econômicas,4,Bac Em Ciências Econômicas,Ilha Do Governador,Rio De Janeiro,RJ,20-22,S,2025-01
ALU_30deae15f0,Direito,3,Bacharelado Em Direito,Barra Da Tijuca,Rio De Janeiro,RJ,20-22,S,2025-01
ALU_e52ca7dfc9,Psicologia,6,Bacharelado Em Psicologia,Tijuca,Rio De Janeiro,RJ,26-30,S,2025-01
ALU_c90a3e287c,Engenharia,5,Bac Engenharia De Computação,Tijuca,Rio De Janeiro,RJ,,S,2025-01
ALU_2451fa89b6,Ciências Econômicas,7,Bac Em Ciências Econômicas,Ipanema,Rio De Janeiro,RJ,20-22,S,2025-01
ALU_0c44d61443,Engenharia,9,Bac Em Engenharia Química,Gavea,Rio De Janeiro,RJ,23-25,S,2025-01
ALU_3900272506,Letras,3,"Lic Let,Ling Port Resp Lit",Vidigal,Rio De Janeiro,RJ,,S,2025-01
ALU_a2102abe31,Pos-Graduacao Em Psicologia,5,Mestrado Em Psicologia,Riachuelo,Rio De Janeiro,RJ,,S,2025-01
ALU_f34fb4a7b1,Ciências Econômicas,5,Bac Em Ciências Econômicas,Barra Da Tijuca,Rio De Janeiro,RJ,20-22,S,2025-02
ALU_1407ad104a,Psicologia,8,Bacharelado Em Psicologia,Leblon,Rio De Janeiro,RJ,20-22,S,2025-02
ALU_a132ec3722,Arquitetura E Urbanismo,9,Bac Arquitetura E Urbanismo,Albuquerque,Teresopolis,RJ,,S,2025-02
ALU_dd93b0a4e5,Engenharia,9,Bac Em Engenharia De Produção,Barra Da Tijuca,Rio De Janeiro,RJ,20-22,S,2025-02
ALU_77234112fc,Ciências Econômicas,11,Bac Em Ciências Econômicas,Barra Da Tijuca,Rio De Janeiro,RJ,,S,2025-02
ALU_9db6010126,Psicologia,7,Bacharelado Em Psicologia,Leblon,Rio De Janeiro,RJ,20-22,S,2025-02
ALU_c7948497ed,Psicologia,7,Bacharelado Em Psicologia,Barra Da Tijuca,Rio De Janeiro,RJ,,S,2025-02
ALU_bf612e5b7f,Administração,9,Bacharelado Em Administração,Sao Francisco,Niteroi,RJ,20-22,S,2025-02
ALU_8b4009f15a,Jornalismo,5,Bacharelado Em Jornalismo,Centro,Nova Iguaçu,RJ,20-22,S,2025-02
ALU_15267533ff,Engenharia,6,Bac Em Engenharia Química,Leblon,Rio De Janeiro,RJ,23-25,S,2025-02
ALU_2972747f67,Ciências Econômicas,11,Bac Em Ciências Econômicas,Jardim Oceanico,Rio De Janeiro,RJ,,S,2025-02
ALU_17a77ce959,Psicologia,11,Bacharelado Em Psicologia,Catete,Rio De Janeiro,RJ,,S,2025-02
ALU_bce9eb36ad,Relacões Internacionais,7,Bac Relacões Internacionais,Gavea,Rio De Janeiro,RJ,20-22,S,2025-02
ALU_66c8716f84,Direito,6,Bacharelado Em Direito,Santa Lucia,Duque De Caxias,RJ,23-25,S,2025-02
ALU_974bbe0274,Engenharia,3,Bac Engenharia De Computação,Jardim Primavera,Duque De Caxias,RJ,20-22,S,2025-02
ALU_e93501ec5f,Ciências Econômicas,5,Bac Em Ciências Econômicas,Ipanema,Rio De Janeiro,RJ,20-22,S,2025-02
ALU_1a62429de5,Estudos De Mídia,3,Bacharelado Estudos De Mídia,Covanca,Sao Goncalo,RJ,20-22,S,2025-02
ALU_f12a7e66f1,Direito,3,Bacharelado Em Direito,Botafogo,Rio De Janeiro,RJ,20-22,S,2025-02
ALU_0f4a3bb4b8,Psicologia,6,Bacharelado Em Psicologia,Maracanã,Rio De Janeiro,RJ,30+,S,2025-02
ALU_35d3f6824d,Ciências Econômicas,11,Bac Em Ciências Econômicas,Copacabana,Rio De Janeiro,RJ,23-25,S,2025-02
ALU_5bde1d3c4e,Engenharia,9,Bac Engenharia De Computação,Tijuca,Rio De Janeiro,RJ,20-22,S,2025-02
ALU_818d966d4c,Ciência Da Computação,9,Bac Ciência Da Computação,Barra Da Tijuca,Rio De Janeiro,RJ,23-25,S,2025-02
ALU_1eaab017c6,Estudos De Mídia,13,Bacharelado Estudos De Mídia,Barra Da Tijuca,Rio De Janeiro,RJ,,S,2025-02
ALU_9084601907,Ciências Econômicas,10,Bac Em Ciências Econômicas,Penha,Rio De Janeiro,RJ,,S,2025-02
ALU_f77e42f610,Jornalismo,7,Bacharelado Em Jornalismo,Laranjeiras,Rio De Janeiro,RJ,,S,2025-02
ALU_b2b8833641,Engenharia,5,Bac Engenharia De Computação,Barra Da Tijuca,Rio De Janeiro,RJ,20-22,S,2025-02
ALU_ad3195a38f,Estudos De Mídia,4,Bacharelado Estudos De Mídia,Leblon,Rio De Janeiro,RJ,23-25,S,2025-02
ALU_532bfce150,Estudos De Mídia,7,Bacharelado Estudos De Mídia,Humaita,Rio De Janeiro,RJ,20-22,S,2025-02
ALU_59f23b41ee,Administração,6,Bacharelado Em Administração,25 De Agosto,Duque De Caxias,RJ,20-22,S,2025-02
ALU_b340ef131c,Design,7,Bacharelado Em Design,Barra Da Tijuca,Rio De Janeiro,RJ,20-22,S,2025-02
ALU_c550a509ce,Design,7,Bacharelado Em Design,Tijuca,Rio De Janeiro,RJ,23-25,S,2025-02
ALU_55e4083716,Estudos De Mídia,5,Bacharelado Estudos De Mídia,Gavea,Rio De Janeiro,RJ,23-25,S,2025-02
ALU_980fe84a04,Design,3,Bacharelado Em Design,Mangueira,Rio De Janeiro,RJ,20-22,S,2025-02
ALU_641ed0305b,Administração,7,Bacharelado Em Administração,Lagoa,Rio De Janeiro,RJ,,N,2025-02
ALU_c998c25953,Estudos De Mídia,7,Bacharelado Estudos De Mídia,Copacabana,Rio De Janeiro,RJ,20-22,S,2025-02
ALU_274f81cad3,Psicologia,6,Bacharelado Em Psicologia,Botafogo,Rio De Janeiro,RJ,,S,2025-02
ALU_f1fbcaa8c6,Ciência Da Computação,18,Bac Ciência Da Computação,Barra,Rio De Janeiro,RJ,26-30,N,2025-02
ALU_5cdd2a02dc,Ciências Econômicas,6,Bac Em Ciências Econômicas,Bento Ribeiro,Rio De Janeiro,RJ,20-22,S,2025-02
ALU_9e8951fe3a,Administração,3,Bacharelado Em Administração,Leblon,Rio De Janeiro,RJ,,S,2025-02
ALU_ad6457b502,Engenharia,9,Bac Em Engenharia De Produção,Ipanema,Rio De Janeiro,RJ,23-25,S,2025-02
ALU_20241f715c,Engenharia,13,Bac Em Engenharia De Produção,Cidadr De Deus - Jacarepaguá ,Rio De Janeiro,RJ,23-25,S,2025-02
ALU_6f69491b68,Design,3,Bacharelado Em Design,Icarai,Niteroi,RJ,,S,2025-02
ALU_0ce0a140da,Ciências Econômicas,6,Bac Em Ciências Econômicas,Jardim Meriti,Sao Joao De Meriti,RJ,26-30,S,2025-02
ALU_e2a5d93b12,Ciência Da Computação,6,Bac Ciência Da Computação,Jacarepagua,Rio De Janeiro,RJ,23-25,S,2025-02
ALU_b246dd56b2,Psicologia,6,Bacharelado Em Psicologia,Andarai,Rio De Janeiro,RJ,20-22,S,2025-02
ALU_aa4ec4e051,Psicologia,8,Bacharelado Em Psicologia,Barra Da Tijuca,Rio De Janeiro,RJ,20-22,S,2025-02
ALU_e9bd2cd45c,Administração,11,Bacharelado Em Administração,Tijuca,Rio De Janeiro,RJ,,S,2025-02
ALU_8ba875184a,Direito,3,Bacharelado Em Direito,Copacabana,Rio De Janeiro,RJ,20-22,S,2025-02
ALU_60cf6c5f3b,Engenharia,7,Bac Em Engenharia Civil,Catete,Rio De Janeiro,RJ,20-22,S,2025-02
ALU_eea5b3390a,Relacões Internacionais,3,Bac Relacões Internacionais,Humaitá,Rio De Janeiro,RJ,<=19,N,2025-02
ALU_c0c81d8473,Estudos De Mídia,4,Bacharelado Estudos De Mídia,Tijuca,Rio De Janeiro,RJ,20-22,S,2025-02
ALU_65207537b3,Pos-Graduacao Em Informatica,5,Mestrado Em Informatica,Agua Limpa,Volta Redonda,RJ,,S,2025-02
ALU_5d91b1e7f1,Ciência Da Computação,4,Bac Ciência Da Computação,Copacabana,Rio De Janeiro,RJ,20-22,S,2025-02
ALU_1daec5122c,Estudos De Mídia,11,Bacharelado Estudos De Mídia,Flamengo,Rio De Janeiro,RJ,23-25,S,2025-02
ALU_4d872c77f0,Pos-Graduacao Em Administracao,3,Mest Em Adm De Empresas,Ipanema,Rio De Janeiro,RJ,30+,N,2025-02
ALU_4bc36d08ad,Psicologia,7,Bacharelado Em Psicologia,Gavea,Rio De Janeiro,RJ,20-22,S,2025-02
ALU_5c3686be01,Engenharia,4,Bac Engenharia De Computação,Leblon,Rio De Janeiro,RJ,,S,2025-02
ALU_ddf0e474f3,Engenharia,9,Bac Em Engenharia De Produção,Barra Da Tijuca,Rio De Janeiro,RJ,20-22,S,2025-02
ALU_cdcbd6f8ed,Direito,5,Bacharelado Em Direito,Recreio Dos Bandeirantes,Rio De Janeiro,RJ,20-22,S,2025-02
ALU_0eb279fcad,Ciências Econômicas,11,Bac Em Ciências Econômicas,Copacabana,Rio De Janeiro,RJ,23-25,S,2025-02
ALU_a50bcc65d0,Jornalismo,3,Bacharelado Em Jornalismo,Camboinhas,Niteroi,RJ,20-22,S,2025-02
ALU_0454d6eb9b,Direito,5,Bacharelado Em Direito,Barra Da Tijuca,Rio De Janeiro,RJ,,S,2025-02
ALU_bbbf7b5e56,Jornalismo,4,Bacharelado Em Jornalismo,Itanhangá,Rio De Janeiro,RJ,20-22,S,2025-02
ALU_db794b9f55,Ciência Da Computação,9,Bac Ciência Da Computação,Olaria,Rio De Janeiro,RJ,23-25,S,2025-02
ALU_e8119b6b59,Pos-Graduacao Em Historia,3,Mestrado Em Historia,Vila Gabriela (Manilha),Itaboraí,RJ,23-25,S,2025-02
ALU_a9ce381419,Engenharia,14,Bac Em Engenharia Civil,Barra Da Tijuca,Rio De Janeiro,RJ,,S,2025-02
ALU_4cd5f86f3d,Direito,7,Bacharelado Em Direito,Recreio,Rio De Janeiro,RJ,,S,2025-02
ALU_5f050ca268,Direito,7,Bacharelado Em Direito,Botafogo,Rio De Janeiro,RJ,20-22,S,2025-02
ALU_822cf47e8f,Direito,5,Bacharelado Em Direito,Leblon,Rio De Janeiro,RJ,20-22,S,2025-02
ALU_987f0325fd,Psicologia,3,Bacharelado Em Psicologia,Jardim Icarai,Niteroi,RJ,20-22,S,2025-02
ALU_c6096d7f1f,Direito,14,Bacharelado Em Direito,Parque Dos Laranjais,Campo Grande,MS,,S,2025-02
ALU_9230187c39,Direito,9,Bacharelado Em Direito,Lagoa,Rio De Janeiro,RJ,,S,2025-02
ALU_e1c6e3b024,Direito,3,Bacharelado Em Direito,Tijuca,Rio De Janeiro,RJ,20-22,S,2025-02
ALU_03fa3e1cd3,Ciências Econômicas,6,Bac Em Ciências Econômicas,Barra Da Tijuca,Rio De Janeiro,RJ,23-25,N,2025-02
ALU_1096d4196f,Estudos De Mídia,4,Bacharelado Estudos De Mídia,Meier,Rio De Janeiro,RJ,20-22,S,2025-02
ALU_e9c8233ce9,Design,4,Bacharelado Em Design,Urca,Rio De Janeiro,RJ,20-22,S,2025-03
ALU_7af2127cd9,Arquitetura E Urbanismo,3,Bac Arquitetura E Urbanismo,Todos Os Santos,Rio De Janeiro,RJ,<=19,S,2025-03
ALU_c1a51bb918,Estudos De Mídia,8,Bacharelado Estudos De Mídia,Barra Da Tijuca,Rio De Janeiro,RJ,23-25,S,2025-03
ALU_9ea4f858b3,Engenharia,11,Bac Eng Mat Nano,Barra Da Tijuca,Rio De Janeiro,RJ,,N,2025-03
ALU_09710ee3c6,Psicologia,3,Bacharelado Em Psicologia,Penha,Rio De Janeiro,RJ,26-30,S,2025-03
ALU_0b039ff340,Design,7,Bacharelado Em Design,Flamengo,Rio De Janeiro,RJ,,S,2025-03
ALU_0f29592449,Ciência Da Computação,3,Bac Ciência Da Computação,Barra Da Tijuca,Rio De Janeiro,RJ,<=19,S,2025-03
ALU_cdd86f8161,Ciência Da Computação,3,Bac Ciência Da Computação,Bangu,Rio De Janeiro,RJ,20-22,S,2025-03
ALU_8b9860b9fa,Jornalismo,5,Bacharelado Em Jornalismo,Copacabana,Rio De Janeiro,RJ,20-22,S,2025-03
ALU_e364b73f62,Ciência Da Computação,3,Bac Ciência Da Computação,Flamengo,Rio De Janeiro,RJ,23-25,S,2025-03
ALU_78c572b40e,Direito,5,Bacharelado Em Direito,Gavea,Rio De Janeiro,RJ,,S,2025-03
ALU_5d4b7b17e7,Design,9,Bacharelado Em Design,Pechincha,Rio De Janeiro,RJ,,S,2025-03
ALU_0fe05c66fd,Design,9,Bacharelado Em Design,Humaita,Rio De Janeiro,RJ,,S,2025-03
ALU_6994941556,Psicologia,5,Bacharelado Em Psicologia,Icarai,Niteroi,RJ,,S,2025-03
ALU_7d52cf627e,Direito,9,Bacharelado Em Direito,Barra Da Tijuca,Rio De Janeiro,RJ,,S,2025-03
ALU_7d69a764c5,Arquitetura E Urbanismo,10,Bac Arquitetura E Urbanismo,Realengo,Rio De Janeiro,RJ,23-25,S,2025-03
ALU_f84ceff8d2,Direito,5,Bacharelado Em Direito,Botafogo,Rio De Janeiro,RJ,20-22,S,2025-03
ALU_0c5b31d7e0,Design,6,Bacharelado Em Design,Centro,Rio De Janeiro,RJ,,S,2025-03
ALU_24a6bf1cf5,Ciência Da Computação,3,Bac Ciência Da Computação,Vila Isabel,Rio De Janeiro,RJ,20-22,S,2025-03
ALU_bd8b83a814,Administração,3,Bacharelado Em Administração,Vidigal,Rio De Janeiro,RJ,30+,S,2025-03
ALU_a40b1b8938,Design,12,Bacharelado Em Design,Lagoa,Rio De Janeiro,RJ,,S,2025-03
ALU_02ce919f57,Ciências Econômicas,9,Bac Em Ciências Econômicas,Gavea,Rio De Janeiro,RJ,,S,2025-03
ALU_678855642f,Engenharia,9,Bac Engenharia De Computação,Barra Da Tijuca,Rio De Janeiro,RJ,23-25,S,2025-03
ALU_276d726e3a,Engenharia,3,Bac Em Engenharia De Produção,Botafogo,Rio De Janeiro,RJ,20-22,S,2025-03
ALU_d00e2c4e96,S/E - Sem Especificacao,3,,Copacabana,Rio De Janeiro,RJ,23-25,S,2025-03
ALU_593e23db43,Engenharia,3,Bac Engenharia De Computação,Parque Nova Esperanca,Duque De Caxias,RJ,,S,2025-03
ALU_477fb74d54,Psicologia,7,Bacharelado Em Psicologia,Taquara,Rio De Janeiro,RJ,23-25,S,2025-03
ALU_d72c343a0f,Engenharia,3,Bac Eng Controle E Automação,Botafogo,Rio De Janeiro,RJ,20-22,S,2025-03
ALU_02fbee8495,Ciências Biológicas,7,Bac Em Ciências Biológicas,Acari,Rio De Janeiro,RJ,,S,2025-03
ALU_b8479c8585,Ciências Econômicas,7,Bac Em Ciências Econômicas,Copacabana,Rio De Janeiro,RJ,20-22,S,2025-03
ALU_0d2e08b6a1,Arquitetura E Urbanismo,8,Bac Arquitetura E Urbanismo,Copacabana,Rio De Janeiro,RJ,23-25,S,2025-03
ALU_72fbb58eef,Design,8,Bacharelado Em Design,Tijuca,Rio De Janeiro,RJ,20-22,S,2025-03
ALU_1c248c7f1c,Engenharia,9,Bac Eng Controle E Automação,Leblon,Rio De Janeiro,RJ,,N,2025-03
ALU_3d97e4cbc1,Ciências Biológicas,3,Lic Em Ciências Biológicas,Tijuca,Rio De Janeiro,RJ,26-30,S,2025-03
ALU_cc1793506c,Administração,9,Bacharelado Em Administração,Iraja,Rio De Janeiro,RJ,23-25,S,2025-03
ALU_e90ed0f82e,Estudos De Mídia,9,Bacharelado Estudos De Mídia,Ipanema,Rio De Janeiro,RJ,23-25,S,2025-03
ALU_aad48b39c4,Estudos De Mídia,5,Bacharelado Estudos De Mídia,Rio Comprido,Rio De Janeiro,RJ,20-22,S,2025-03
ALU_523e339e2a,Pos-Graduacao Em Administracao,3,Mest Em Adm De Empresas,Engenho Novo,Rio De Janeiro,RJ,26-30,S,2025-03
ALU_ae8d80c467,Engenharia,9,Bac Em Engenharia De Produção,Grajau,Rio De Janeiro,RJ,20-22,S,2025-03
ALU_c42d3fdaf1,Direito,11,Bacharelado Em Direito,Gavea,Rio De Janeiro,RJ,,S,2025-03
ALU_83f17d37ff,Engenharia,7,Bac Em Engenharia De Produção,Lagoa,Rio De Janeiro,RJ,20-22,S,2025-03
